timestamp,cpu_usage_cores,latency_avg_ms,latency_p95_ms,memory_usage_bytes,rps_total,total_requests
2026-04-26 23:19:35,2.027473671398374,7054.821635730858,27214.862681744744,1259769856.0,52.112288847481445,3126.737330848887
2026-04-26 23:19:40,2.0501208742591035,7057.208647058824,27102.272727272724,1260568576.0,52.74734482686386,3164.8406896118317
2026-04-26 23:19:45,2.053260536700597,7057.208647058824,27102.272727272724,1235611648.0,52.747344826863866,3164.840689611832
2026-04-26 23:19:50,1.8933869961635903,7057.208647058824,27102.272727272724,1236160512.0,52.747344826863866,3164.840689611832
2026-04-26 23:19:55,1.8779707456802295,7413.099076433121,27020.872865275145,1239281664.0,47.07212023093136,2824.3272138558814
2026-04-26 23:20:00,1.8191412646311753,7336.008625104135,26932.391359111127,1200377856.0,51.01018358980453,3060.611015388272
2026-04-26 23:20:05,1.682992839220888,7351.0402860917775,26939.6449704142,1181126656.0,51.47248133404631,3088.3488800427785
2026-04-26 23:20:10,1.7513753332191107,7210.126987267778,26854.103207778524,1199972352.0,54.50154271990881,3270.092563194529
2026-04-26 23:20:15,1.6945109941889098,4613.563481531191,23426.7519426816,1200402432.0,79.71110738817221,4782.666443290333
2026-04-26 23:20:20,1.6643101566733116,4531.905017393203,23180.52688948473,1203924992.0,83.7702741944491,5026.216451666945
2026-04-26 23:20:25,1.436764589044967,4015.2851237514815,21073.345271569346,1235755008.0,85.29346197687673,5117.607718612604
2026-04-26 23:20:30,1.3566380323313982,3944.363115235338,20675.51378687779,1258618880.0,91.21167562286271,5472.700537371764
2026-04-26 23:20:35,1.342395781545001,4317.28038601412,22202.37261363311,1272602624.0,71.2180864209768,4273.085185258608
2026-04-26 23:20:40,1.4789578489475634,3538.7128998725943,17036.414106358665,1300164608.0,72.66096817287199,4359.658090372319
2026-04-26 23:20:45,1.5180548248606167,3372.809776063052,16259.482180295769,1314447360.0,77.54058392225248,4652.435035335148
2026-04-26 23:20:50,1.572490566120525,4543.294344131705,22376.518218623496,1315065856.0,78.52963995890038,4711.778397534023
2026-04-26 23:20:55,1.5260068700541602,4543.294344131705,22376.518218623496,1297801216.0,78.52963995890038,4711.778397534023
2026-04-26 23:21:00,1.6706956102062587,8118.837282229965,26991.6142557652,1303912448.0,44.6578778331753,2679.472669990518
2026-04-26 23:21:05,1.8047799789877537,7225.999377076412,26741.54262516915,1335627776.0,47.79849266164221,2867.9095596985326
2026-04-26 23:21:10,1.9211340224241924,7225.999377076412,26741.54262516915,1340424192.0,47.79849266164221,2867.9095596985326
2026-04-26 23:21:15,2.0338310908413697,7108.280049875313,26691.419141914183,1298403328.0,61.32176357358917,3679.30581441535
2026-04-26 23:21:20,2.1237737774351118,6803.4500813008135,26552.69058295964,1292648448.0,64.75739545797369,3885.443727478421
2026-04-26 23:21:25,2.0893892335859205,6803.4500813008135,26552.69058295964,1288933376.0,64.7573954579737,3885.443727478422
2026-04-26 23:21:30,2.0680813893841488,6803.4500813008135,26552.69058295964,1282207744.0,64.7573954579737,3885.443727478422
2026-04-26 23:21:35,1.9944870544333433,6078.405531081743,26271.897810218976,1282383872.0,62.1448212648946,3728.689275893676
2026-04-26 23:21:40,1.8223434014459292,5481.539251763262,24176.785714285703,1285038080.0,65.03694605677609,3902.216763406565
2026-04-26 23:21:45,1.8102471599068133,5481.539251763262,24176.785714285703,1290956800.0,65.03694605677609,3902.216763406565
2026-04-26 23:21:50,1.9352042647991694,5299.6610576923085,22322.1476510067,1288364032.0,71.23229115779188,4273.9374694675125
2026-04-26 23:21:55,1.9475742107118164,5315.220212460523,22029.74828375286,1295523840.0,72.92801474901535,4375.680884940921
2026-04-26 23:22:00,1.8893797783019661,5315.220212460523,22029.74828375286,1296474112.0,72.92801474901535,4375.680884940921
2026-04-26 23:22:05,1.778794289344809,4908.580397845007,14019.867549668854,1297104896.0,73.23780133826271,4394.268080295763
2026-04-26 23:22:10,1.8239054771988408,4792.968758526604,9919.897151898736,1295613952.0,72.51719285728441,4351.031571437065
