run_name,run_type,timestamp,service,frontend_rps,frontend_total_requests_1m,service_rps,cpu_usage_cores,memory_usage_bytes,latency_avg_ms,latency_p95_ms,service_rps_was_missing,latency_avg_was_missing,latency_p95_was_missing,predicted_rps,rps_lag_1,rps_lag_2,rps_lag_3,service_rps_lag_1,rps_rolling_mean_3,future_cpu_usage_cores,future_memory_usage_bytes,required_replicas,svc_adservice,svc_cartservice,svc_checkoutservice,svc_currencyservice,svc_emailservice,svc_frontend,svc_paymentservice,svc_productcatalogservice,svc_recommendationservice,svc_shippingservice
train_03,train,2026-06-17 04:23:20,shippingservice,89.09628180871192,5345.776908522715,25.276897893237525,0.0490503079635126,59949056.0,1.638792390405284,7.648550724637674,False,False,False,89.45283220901595,92.50021688210288,92.50021688210288,92.50021688210288,25.276897893237525,91.36557185763922,0.0494860667789648,60198912.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:23:25,shippingservice,89.09628180871192,5345.776908522715,25.276897893237525,0.0437098027224,59949056.0,1.638792390405284,7.648550724637674,False,False,False,89.45283220901595,89.09628180871192,92.50021688210288,92.50021688210288,25.276897893237525,90.23092683317559,0.0496773027068334,60198912.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:23:30,shippingservice,89.09628180871192,5345.776908522715,25.82021640215096,0.0457558874883169,59949056.0,1.6748728813559124,7.692307692307689,False,False,False,89.45283220901595,89.09628180871192,89.09628180871192,92.50021688210288,25.276897893237525,89.09628180871192,0.0502490590531979,60198912.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:23:35,shippingservice,91.22180614821907,5473.3083688931465,25.82021640215096,0.0486454513133506,59944960.0,1.6748728813559124,7.692307692307689,False,False,False,92.73867534908112,89.09628180871192,89.09628180871192,89.09628180871192,25.82021640215096,89.80478992188097,0.0503676609308832,60198912.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:23:40,shippingservice,91.22180614821907,5473.3083688931465,25.82021640215096,0.0486454513133506,59944960.0,1.6748728813559124,7.692307692307689,False,False,False,92.73867534908112,91.22180614821907,89.09628180871192,89.09628180871192,25.82021640215096,90.51329803505003,0.0518084796197136,61837312.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:23:45,shippingservice,91.22180614821907,5473.3083688931465,26.02103098965584,0.0479448373106352,59944960.0,1.609521812080564,7.532258064516128,False,False,False,92.73867534908112,91.22180614821907,91.22180614821907,89.09628180871192,25.82021640215096,91.22180614821907,0.0517682000159284,62300160.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:23:50,shippingservice,89.45283220901595,5367.169932540956,26.02103098965584,0.0494860667789648,60198912.0,1.609521812080564,7.532258064516128,False,False,False,92.7412801092221,91.22180614821907,91.22180614821907,91.22180614821907,26.02103098965584,90.6321481684847,0.0517682000159284,62300160.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:23:55,shippingservice,89.45283220901595,5367.169932540956,26.02103098965584,0.0496773027068334,60198912.0,1.609521812080564,7.532258064516128,False,False,False,93.84037639746192,89.45283220901595,91.22180614821907,91.22180614821907,26.02103098965584,90.04249018875032,0.051547990624463,61480960.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:24:00,shippingservice,89.45283220901595,5367.169932540956,26.593536262919827,0.0502490590531979,60198912.0,1.6117258464079778,7.238970588235293,False,False,False,93.84037639746192,89.45283220901595,89.45283220901595,91.22180614821907,26.02103098965584,89.45283220901595,0.0510283825091477,60784640.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:24:05,shippingservice,92.73867534908112,5564.320520944868,26.593536262919827,0.0503676609308832,60198912.0,1.6117258464079778,7.238970588235293,False,False,False,96.40170101406606,89.45283220901595,89.45283220901595,89.45283220901595,26.593536262919827,90.54811325570434,0.0504711252655988,59990016.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:24:10,shippingservice,92.73867534908112,5564.320520944868,26.593536262919827,0.0518084796197136,61837312.0,1.6117258464079778,7.238970588235293,False,False,False,93.94338380513496,92.73867534908112,89.45283220901595,89.45283220901595,26.593536262919827,91.64339430239274,0.0504711252655988,59990016.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:24:15,shippingservice,92.73867534908112,5564.320520944868,26.41745624069237,0.0517682000159284,62300160.0,1.5836192810457448,7.566666666666663,False,False,False,93.94338380513496,92.73867534908112,92.73867534908112,89.45283220901595,26.593536262919827,92.73867534908112,0.0482954773263791,59990016.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:24:20,shippingservice,92.7412801092221,5564.476806553326,26.41745624069237,0.0517682000159284,62300160.0,1.5836192810457448,7.566666666666663,False,False,False,92.53868044879133,92.73867534908112,92.73867534908112,92.73867534908112,26.41745624069237,92.73954360246144,0.037438753002016,59981824.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:24:25,shippingservice,93.84037639746192,5630.422583847714,26.41745624069237,0.051547990624463,61480960.0,1.5836192810457448,7.566666666666663,False,False,False,83.27810454809045,92.7412801092221,92.73867534908112,92.73867534908112,26.41745624069237,93.10677728525503,0.0451487230654341,59977728.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:24:30,shippingservice,93.84037639746192,5630.422583847714,26.331958219959624,0.0510283825091477,60784640.0,1.6292653061224418,7.246093749999997,False,False,False,83.27810454809045,93.84037639746192,92.7412801092221,92.73867534908112,26.41745624069237,93.47401096804863,0.0451487230654341,59977728.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:24:35,shippingservice,96.40170101406606,5784.102060843965,26.33195821995962,0.0504711252655988,59990016.0,1.629265306122442,7.246093749999997,False,False,False,77.21700852871948,93.84037639746192,93.84037639746192,92.7412801092221,26.331958219959624,94.6941512696633,0.0448180838081631,59977728.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:24:40,shippingservice,93.94338380513496,5636.603028308098,26.33195821995962,0.0504711252655988,59990016.0,1.629265306122442,7.246093749999997,False,False,False,74.06786410412256,96.40170101406606,93.84037639746192,93.84037639746192,26.33195821995962,94.72848707222097,0.0458997885364428,60370944.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:24:45,shippingservice,93.94338380513496,5636.603028308098,26.29943410421641,0.0482954773263791,59990016.0,1.668198757763914,7.718749999999995,False,False,False,74.06786410412256,93.94338380513496,96.40170101406606,93.84037639746192,26.33195821995962,94.76282287477865,0.0457330561775265,60370944.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:24:50,shippingservice,92.53868044879133,5552.32082692748,23.341065363267333,0.037438753002016,59981824.0,1.6341150442477514,7.415254237288126,False,False,False,74.06786410412256,93.94338380513496,93.94338380513496,96.40170101406606,26.29943410421641,93.47514935302041,0.0457330561775265,60370944.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:24:55,shippingservice,83.27810454809045,4996.686272885428,23.341065363267333,0.0451487230654341,59977728.0,1.6341150442477514,7.415254237288126,False,False,False,57.67807205132422,92.53868044879133,93.94338380513496,93.94338380513496,23.341065363267333,89.92005626733891,0.0391381278941868,61116416.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:25:00,shippingservice,83.27810454809045,4996.686272885428,22.22358083942164,0.0451487230654341,59977728.0,1.6654618473895662,6.831249999999994,False,False,False,57.67807205132422,83.27810454809045,92.53868044879133,93.94338380513496,23.341065363267333,86.36496318165742,0.0368885925019283,61116416.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:25:05,shippingservice,77.21700852871948,4633.020511723168,21.44069750382496,0.0448180838081631,59977728.0,1.620271580989359,6.676724137931033,False,False,False,57.67807205132422,83.27810454809045,83.27810454809045,92.53868044879133,22.22358083942164,81.25773920830012,0.0395622319639768,61116416.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:25:10,shippingservice,74.06786410412256,4444.071846247354,21.44069750382496,0.0458997885364428,60370944.0,1.620271580989359,6.676724137931033,False,False,False,56.49077723818027,77.21700852871948,83.27810454809045,83.27810454809045,21.44069750382496,78.18765906031084,0.0412198565060021,59854848.0,1,False,False,False,False,False,False,False,False,False,True
train_03,train,2026-06-17 04:25:15,shippingservice,74.06786410412256,4444.071846247354,18.92214104484456,0.0457330561775265,60370944.0,1.5271756978654054,6.5608108108108105,False,False,False,56.49077723818027,74.06786410412256,77.21700852871948,83.27810454809045,21.44069750382496,75.11757891232155,0.0412198565060021,59854848.0,1,False,False,False,False,False,False,False,False,False,True
