timestamp,run_name,users,service,frontend_rps,service_rps,predicted_rps,cpu_usage_cores,memory_usage_bytes,latency_p95_ms,latency_avg_ms,actual_replicas,predicted_replicas,actual_replicas_raw,predicted_replicas_raw,absolute_error,prediction_status
2026-05-04 00:35:45,run_400_users,400,frontend,33.89729890175126,33.22515534095856,33.23262839879154,0.7629520167871228,196485120.0,27838.709677419352,9711.801090700346,5.0,5.0,5.0,4.9363213,0.0,correct
2026-05-03 23:23:45,run_100_users,100,currencyservice,42.75962648625655,230.91881380651435,43.120320606418346,0.4564463939065799,125026304.0,443.199685534591,134.84019455252917,3.0,3.0,3.0,2.998561,0.0,correct
2026-05-04 00:37:40,run_400_users,400,checkoutservice,48.70116332402118,3.9620477531018654,48.70116332402118,0.1524329128786991,62873600.0,2307.608695652174,769.0631313131313,1.0,1.0,1.0,1.0456436,0.0,correct
2026-05-04 00:07:50,run_300_users,300,adservice,48.62241607027674,29.541419823270097,43.60053453537308,0.1143684413202868,247984128.0,44.18147208121829,13.366181448882834,2.0,2.0,2.0,2.0740602,0.0,correct
2026-05-03 23:44:40,run_200_users,200,paymentservice,47.13106502919267,3.321991584287987,47.13106502919267,0.0335049065684852,94773248.0,9.543478260869565,4.569753086419748,1.0,1.0,1.0,1.001987,0.0,correct
2026-05-04 00:03:35,run_300_users,300,frontend,49.57625432698046,50.16509527787724,49.57625432698047,0.7177213604641369,160555008.0,21289.75265017668,5355.609736308316,5.0,5.0,5.0,4.9517813,0.0,correct
2026-05-04 00:01:25,run_300_users,300,paymentservice,29.15387987724682,3.0054896187935105,29.15387987724682,0.0288003887553974,109350912.0,18.16666666666665,4.782317073170749,1.0,1.0,1.0,1.0254328,0.0,correct
2026-05-04 00:33:00,run_400_users,400,cartservice,36.2040051297228,41.84670020716189,36.2040051297228,0.1354280282302437,215482368.0,596.4814814814825,64.84449288664496,1.0,2.0,1.0,1.6095176,1.0,over_scaled
2026-05-03 23:19:35,run_100_users,100,currencyservice,3.693358162631906,24.86001221814951,3.693358162631906,0.0175159024536269,88301568.0,248.2621951219512,101.24451410658308,1.0,2.0,1.0,2.047599,1.0,over_scaled
2026-05-04 00:02:20,run_300_users,300,recommendationservice,30.94932311514411,15.560187817152,25.972427375677007,0.3316300305810021,112427008.0,792.816091954023,214.63190013869573,3.0,3.0,3.0,2.7837071,0.0,correct
2026-05-04 00:34:50,run_400_users,400,paymentservice,42.55007123103998,2.474793767186068,42.55007123103998,0.0319436530007997,115204096.0,24.166666666666657,7.944444444444445,1.0,1.0,1.0,1.0019611,0.0,correct
2026-05-04 00:04:45,run_300_users,300,shippingservice,46.68000000000001,13.401340134013402,45.3748423416495,0.0453473678420035,57090048.0,23.13333333333334,6.191942771084327,1.0,1.0,1.0,0.98255306,0.0,correct
